X,Y,OBJECTID,STATUS,ORIG_PERMIT,CURRENT_PERMITNUM,CONSULTNUM,X_COORD,Y_COORD,BORE_DEPTH,BORE_DIAMETER,SCREEN_INTERVAL,WELL_TYPE_VALUE,WELL_PURPOSE_VALUE,GlobalID,CASING_DEPTH,CASING_DIAMETER,WELL_NBR,WATER_SYSTEM_NAME
-121.836742666088,37.3147449434608,65,Other - Active,91W1934,91W1934,RW-1,6172939.0,1939850.0,33.0,,,Water Production,Municipal,e87f84d3-e6f3-4f16-98c8-70a65fd72138,30.0,6.0,07S01E23D004,SAN JOSE WATER
-121.821806399418,37.3005537075907,73,Other - Active,,06D00055,EW-1C,6177210.0,1934621.0,80.0,,,Water Production,Municipal,6bd5aadc-7750-486a-a51c-f59865c6fcc1,,0.0,07S01E25D003,SAN JOSE WATER
-121.822114960837,37.3007494317113,78,Destroyed,97W00433,D20150430001,MW 9P,6177121.0,1934694.0,70.0,,,Water Production,Municipal,0cbc336d-8819-4482-9c93-4edd15355df7,,4.0,07S01E25D013,SAN JOSE WATER
-121.821794272162,37.3005326646146,86,Other - Active,98W00639,06D00054,EW-1AB,6177213.0,1934614.0,68.0,,,Water Production,Municipal,b694f6b2-a0f5-426f-8db6-74ef59ad4b74,,4.0,07S01E25D022,SAN JOSE WATER
-121.97053355566,37.2590811961138,101,Water Supply - Active,C20160105002,C20160105002, ,6133717.25824686,1920168.52584622,610.0,42.0,320 - 600,Water Production,Municipal,79ea9e67-99dd-4fdd-9cfd-6b6278887364,600.0,16.0,08S01W04R003,SAN JOSE WATER
-121.83361873067,37.2940886207872,109,Destroyed,99W00007,13D00004,MW-10,6173741.0,1932317.0,0.0,,,Water Production,Municipal,2d341b16-2b99-4605-9515-0c78b9bdced2,,6.0,07S01E26L043,SAN JOSE WATER
-122.00524771553,37.3352861655756,243,Destroyed,86W0119,86W0119,4A,6124062.0,1948072.0,118.0,,,Water Production,Municipal,16f61e75-b7ed-44d7-a0f8-a27d2610a530,86.0,2.0,07S01W07J002,CWSC LOS ALTOS SUBURBAN
-122.004016152225,37.3357665068506,249,Extraction (Env) - Active,86W1003,86W1003,12A,6124423.0,1948241.0,126.0,,,Water Production,Municipal,fbe10bff-4f84-492f-baf7-0517f3d8b447,,4.0,07S01W08M011,CWSC LOS ALTOS SUBURBAN
-122.005104395615,37.3356828993068,250,Other - Active,86W1000,86W1000,9A,6124106.0,1948216.0,125.0,,,Water Production,Municipal,b5c1e794-14a6-42ad-90bd-4f6ed4c99187,124.0,4.0,07S01W08M031,CWSC LOS ALTOS SUBURBAN
-122.00498012178,37.3375121110023,254,Extraction (Env) - Active,86W1895,86W1895,H 5B,6124153.0,1948881.0,140.0,,,Water Production,Municipal,f49bdfa2-82f4-4ba5-9d3a-411314599feb,,4.0,07S01W07J001,CWSC LOS ALTOS SUBURBAN
-122.003895693535,37.3357393612112,257,Other - Active,87W0774,87W0774,E17A-R,6124458.0,1948231.0,112.0,,,Water Production,Municipal,e8e8e9d8-d0c2-4f3f-ae2a-2089c2682650,110.0,5.0,07S01W08M007,CWSC LOS ALTOS SUBURBAN
-122.004791922931,37.3363663496974,264,Extraction (Env) - Active,87W1415,87W1415,W21A,6124201.0,1948463.0,132.0,,,Water Production,Municipal,df9dd37f-9c0a-4a25-8a43-13683b07f98f,,4.0,07S01W08M021,CWSC LOS ALTOS SUBURBAN
-122.004829625224,37.337555246162,268,Extraction (Env) - Active,89W0428,89W0428,LF-6A,6124197.0,1948896.0,120.0,,,Water Production,Municipal,7990ee23-c1a7-4959-adbc-c1271f8132cd,,4.0,07S01W07J003,CWSC LOS ALTOS SUBURBAN
-121.866544088789,37.3227905265036,293,Destroyed,91W2071,D20221122006,EX-15,6164317.0,1942904.0,39.0,,,Water Production,Municipal,9473e9e9-d055-4261-ad19-1ce75c8c66f7,37.0,4.0,07S01E16K003,SAN JOSE WATER
-121.866810840818,37.322790171462,296,Destroyed,91W2072,D20221122007,EX-16,6164239.0,1942905.0,42.0,,,Water Production,Municipal,13d6a0e7-72ca-4b13-8a72-c5e8e714600f,38.0,4.0,07S01E16K004,SAN JOSE WATER
-121.866536218649,37.3196208555145,297,Destroyed,91W2061,D20221122005,EX-1,6164302.0,1941750.0,39.0,,,Water Production,Municipal,6fa59a8d-4a4b-4745-aae9-007170ff9ac6,36.0,4.0,07S01E16Q002,SAN JOSE WATER
-121.867377142366,37.3227215498206,298,Water Supply - Active,91W2074,91W2074,EX-19,6164074.0,1942882.0,0.0,,,Water Production,Municipal,7d2a1113-27c9-40c5-82d4-3dfbf853a2c6,39.0,4.0,07S01E16K007,SAN JOSE WATER
-121.866365421964,37.3228832637383,299,Destroyed,91W2055,D20221129004,P-26,6164369.0,1942937.0,37.0,,,Water Production,Municipal,aeb39459-0ee2-412d-8500-70b01b42fd04,34.0,2.0,07S01E16K017,SAN JOSE WATER
-121.865194170648,37.3227815518804,300,Destroyed,91W2066,D20221122010,EX-10,6164709.0,1942895.0,41.0,,,Water Production,Municipal,d5707167-972a-4974-9b3c-7d3c4e321214,38.0,4.0,07S01E16K015,SAN JOSE WATER
-121.864932934276,37.3227900885952,301,Destroyed,91W2065,D20221122009,EX-9,6164785.0,1942897.0,42.0,,,Water Production,Municipal,9963bf92-501f-4591-bdfb-d814987499ed,40.0,4.0,07S01E16K016,SAN JOSE WATER
-121.866664654378,37.3197746634318,302,Other - Active,91W2050,D20221122001,P-21,6164265.0,1941807.0,37.0,,,Water Production,Municipal,5c49105a-d8ef-4ec9-8917-a7bafc16c5d6,34.0,2.0,07S01E16Q003,SAN JOSE WATER
-121.866677185876,37.3228164523933,303,Destroyed,91W2054,D20221129003,P-25,6164278.0,1942914.0,38.0,,,Water Production,Municipal,1a01c8e3-c65d-4231-be5b-f7ac0d58d018,33.0,2.0,07S01E16K009,SAN JOSE WATER
-121.865316050473,37.3228928277033,304,Other - Active,91W2059,91W2059,P-30,6164674.0,1942936.0,43.0,,,Water Production,Municipal,9a1e50a7-00d7-4187-b7a0-2d238bc4fa64,36.0,2.0,07S01E16K012,SAN JOSE WATER
-121.865055586651,37.3228034751622,305,Other - Active,91W2060,91W2060,P-31,6164749.0,1942902.0,38.0,,,Water Production,Municipal,6da5e5c1-0a6a-4759-946a-e4ab111841bc,35.0,2.0,07S01E16K013,SAN JOSE WATER
-121.864667703993,37.3145824232819,343,Destroyed,94W0244,14D00574,EW-1,6164819.0,1939908.0,30.0,,,Water Production,Municipal,3ed9cad8-ce14-450f-8c0d-bfd7b18084cd,,6.0,07S01E21B001,SAN JOSE WATER
-121.85547073864,37.3312511534544,362,Destroyed,95W00225,98D00267,EW-2,6167581.0,1945937.0,30.0,,,Water Production,Municipal,e95477a4-66e8-492d-a2a7-ddf2aa1010df,,4.0,07S01E10N009,SAN JOSE WATER
-121.83741429151,37.3153957708244,383,Destroyed,89W1118,89W1118,MW-9 TULLY,6172748.0,1940089.0,24.0,,,Water Production,Municipal,644eeb8a-e649-4844-a9c7-6ca441bb14cf,,4.0,07S01E23D022,SAN JOSE WATER
-121.944534251501,37.2858458926694,458,Destroyed,,93D0118, ,6141434.0,1929795.0,0.0,,,Water Production,Municipal,4954ab52-2e23-44dd-8d06-7f742d576469,,0.0,07S01W35C003,SAN JOSE WATER
-121.889399882342,37.423901769061,601,Other - Active,87W0441,D20150610001,E-6S,6158218.0,1979813.0,24.0,,,Water Production,Municipal,86576f2b-edb4-4018-932b-dd78a54ff201,,5.0,06S01E08L006,CITY OF MILPITAS
-121.888443862877,37.4242549354301,605,Destroyed,88W0366,12D00467,E-5S,6158497.0,1979937.0,0.0,,,Water Production,Municipal,000b69a7-1323-479f-88f7-7227b5f7d31c,,4.0,06S01E08L007,CITY OF MILPITAS
-121.635981280631,37.1369169984474,613,Destroyed,,92D0168, ,6230532.0,1874335.0,0.0,,,Water Production,Municipal,adb75d70-29d5-40fc-a430-be3810f55e1f,,0.0,09S03E22M006,CITY OF MORGAN HILL
-121.631398614142,37.1405381269467,617,Water Supply - Active,86W1304,86W1304,DIANA #2,6231884.0,1875638.0,366.0,,,Water Production,Municipal,d600d714-571c-4cc1-a549-7cd645592db1,350.0,18.0,09S03E22F006,CITY OF MORGAN HILL
-121.890093220044,37.4245295539956,618,Destroyed,91W0906,10D00096,E-13S,6158020.0,1980044.0,38.0,,,Water Production,Municipal,1682c8ff-304a-45ae-be3c-d772fc3b22e6,,5.0,06S01E08M004,CITY OF MILPITAS
-122.080302017705,37.4120670755999,668,Water Supply - Active,87W0711,87W0711,T-32I,6102716.0,1976384.0,54.0,,,Water Production,Municipal,46e9bf4c-1c9d-45be-9a80-341638aae55f,,6.0,06S02W16H003,CITY OF MOUNTAIN VIEW
-122.084424108066,37.4119583871801,677,Destroyed,90W0334,04D01038,WSD-8,6101519.0,1976364.0,15.0,,,Water Production,Municipal,f7f8e2ae-e875-436e-b60e-f2c5be5d2a47,,4.0,06S02W16G014,CITY OF MOUNTAIN VIEW
-122.077872848311,37.4063954411012,682,Destroyed,89W0129,08D00246,MW 7,6103387.0,1974307.0,21.0,,,Water Production,Municipal,fff4030a-9eb0-48f8-bd25-8d393d839197,,4.0,06S02W15N012,CITY OF MOUNTAIN VIEW
-122.077875924143,37.4065409829173,683,Destroyed,91W0869,08D00236,RW-2,6103387.0,1974360.0,21.0,,,Water Production,Municipal,c36e6603-1597-4545-8e5c-263ec4b4b722,,6.0,06S02W15M025,CITY OF MOUNTAIN VIEW
